0, 0, 40, 76, -1, -1, -1, -1
1, 0.003489, 40, 76, -1, -1, -1, -1
2, 0.039074, 1170, 5286, -1, -1, -1, -1
3, 0.369571, 6753, 35005, 801199, 315.707, 0, -1
7, 0.470602, 1671, 8280, 714.564, 8.3593, -1, -1
6, 0.032436, 10024, 51538, 714.564, 5.66649, -1, -1
7, 0.26731, 3544, 17071, 332.141, 4.6252, -1, -1
8, 0.105952, 3544, 16860, 116.045, 4.0715, -1, -1
9, 0.043491, 3544, 16860, 92.2128, 3.73291, -1, -1
6, 0.020645, 7671, 36460, 92.2128, 4.00122, -1, -1
7, 0.179582, 3756, 18122, 34.3494, 3.72904, -1, -1
8, 0.100538, 3756, 18107, 28.3734, 3.6951, -1, -1
9, 0.047115, 3756, 18107, 25.9349, 3.60095, -1, -1
6, 0.018526, 7210, 33733, 25.9349, 3.88305, -1, -1
7, 0.14695, 3962, 19143, 25.9349, 3.65106, -1, -1
8, 0.091514, 3962, 19140, 25.9349, 3.63308, -1, -1
9, 0.043564, 3962, 19140, 25.0928, 3.57628, -1, -1
6, 0.016983, 6934, 32247, 25.0928, 3.8302, -1, -1
7, 0.123609, 3975, 19243, 25.0928, 3.60724, -1, -1
8, 0.083202, 3975, 19242, 15.3818, 3.59397, -1, -1
9, 0.041422, 3975, 19242, 15.2041, 3.55508, -1, -1
6, 0.016388, 6847, 31755, 15.8767, 3.80767, -1, -1
7, 0.114407, 4029, 19537, 15.2041, 3.584, -1, -1
8, 0.080991, 4029, 19536, 15.2041, 3.57314, -1, -1
9, 0.039734, 4029, 19536, 15.1148, 3.546, -1, -1
6, 0.03218, 10942, 54146, 20.6548, 4.06647, -1, -1
7, 0.272875, 5962, 30467, 16.7979, 3.7467, -1, -1
8, 0.273842, 5962, 30411, 11.7346, 3.69883, -1, -1
9, 0.061521, 5962, 30411, 9.5452, 3.57243, -1, -1
7, 0.125818, 5681, 28918, 9.5452, 3.56317, -1, -1
4, 2.86802, 5681, 28918, 9.5452, 3.56317, -1, -1
5, 0.033709, 1987, 8891, 9.5452, 3.59773, -1, -1
-1, 3.31387, 1987, 8891, 9.5452, 3.59773, 0, 36
