0, 0, 10242, 20480, -1, -1, -1, -1
1, 0.695453, 4396, 8788, -1, -1, -1, -1
2, 0.057343, 5528, 30274, -1, -1, -1, -1
3, 1.04525, 11135, 59631, 202131, 90.788, 0, -1
7, 1.0178, 4906, 26871, 1119.06, 9.54113, -1, -1
6, 0.070666, 15827, 86223, 1119.06, 7.53204, -1, -1
7, 0.776101, 7038, 37687, 243.739, 6.92137, -1, -1
8, 0.272191, 7038, 35674, 124.851, 5.60393, -1, -1
9, 0.105817, 7038, 35674, 102.073, 4.87847, -1, -1
6, 0.029913, 11067, 54784, 102.073, 4.65583, -1, -1
7, 0.510441, 7263, 37192, 63.8094, 4.72338, -1, -1
8, 0.208758, 7263, 37009, 43.778, 4.5722, -1, -1
9, 0.100228, 7263, 37009, 43.778, 4.39704, -1, -1
6, 0.028172, 10485, 51501, 43.778, 4.346, -1, -1
7, 0.377519, 7453, 38111, 43.778, 4.3726, -1, -1
8, 0.189397, 7453, 38053, 43.778, 4.32562, -1, -1
9, 0.091358, 7453, 38053, 43.778, 4.24499, -1, -1
6, 0.050228, 14944, 75676, 45.6523, 4.26821, -1, -1
7, 0.542299, 9443, 49696, 29.1149, 4.1471, -1, -1
8, 0.391245, 9443, 49634, 29.1149, 4.03789, -1, -1
9, 0.114602, 9443, 49634, 29.0104, 3.8917, -1, -1
6, 0.034214, 13050, 65702, 29.0104, 3.96458, -1, -1
7, 0.3932, 9405, 49513, 19.4703, 3.89843, -1, -1
8, 0.228913, 9405, 49501, 19.4703, 3.87296, -1, -1
9, 0.110867, 9405, 49501, 19.1608, 3.80426, -1, -1
6, 0.034044, 12444, 62575, 19.1608, 3.8827, -1, -1
7, 0.318044, 9486, 49845, 19.1608, 3.81235, -1, -1
8, 0.211103, 9486, 49859, 19.1608, 3.80138, -1, -1
9, 0.105549, 9486, 49859, 19.1608, 3.76196, -1, -1
6, 0.032098, 12279, 62112, 19.6861, 3.86975, -1, -1
7, 0.365553, 9678, 51129, 11.7876, 3.77532, -1, -1
8, 0.216481, 9678, 51126, 9.21357, 3.76537, -1, -1
9, 0.104926, 9678, 51126, 7.54336, 3.72818, -1, -1
7, 0.294249, 9546, 50485, 7.54336, 3.72699, -1, -1
4, 7.3788, 9546, 50485, 7.54336, 3.72699, -1, -1
5, 0.079687, 5103, 19789, 7.54336, 3.76108, -1, -1
-1, 9.25654, 5103, 19789, 7.54336, 3.76108, 0, 51
